"","X","Team1","Team2","match_date","Season_Year","Season_Winner","Venue_Home_Team","City_Name","Country_Name","Toss_Winner","match_winner"
"1",1,"Royal Challengers Bangalore","Kolkata Knight Riders","4/18/2008",2008,"Rajasthan Royals","Royal Challengers Bangalore","Bangalore","India","Royal Challengers Bangalore","Kolkata Knight Riders"
"2",2,"Kings XI Punjab","Chennai Super Kings","4/19/2008",2008,"Rajasthan Royals","Kings XI Punjab","Chandigarh","India","Chennai Super Kings","Chennai Super Kings"
"3",3,"Delhi Daredevils","Rajasthan Royals","4/19/2008",2008,"Rajasthan Royals","Delhi Daredevils","Delhi","India","Rajasthan Royals","Delhi Daredevils"
"4",4,"Mumbai Indians","Royal Challengers Bangalore","4/20/2008",2008,"Rajasthan Royals","Mumbai Indians","Mumbai","India","Mumbai Indians","Royal Challengers Bangalore"
"5",5,"Kolkata Knight Riders","Deccan Chargers","4/20/2008",2008,"Rajasthan Royals","Kolkata Knight Riders","Kolkata","India","Deccan Chargers","Kolkata Knight Riders"
"6",6,"Rajasthan Royals","Kings XI Punjab","4/21/2008",2008,"Rajasthan Royals","Rajasthan Royals","Jaipur","India","Kings XI Punjab","Rajasthan Royals"
"7",7,"Deccan Chargers","Delhi Daredevils","4/22/2008",2008,"Rajasthan Royals","Sunrisers Hyderabad","Hyderabad","India","Deccan Chargers","Delhi Daredevils"
"8",8,"Chennai Super Kings","Mumbai Indians","4/23/2008",2008,"Rajasthan Royals","Chennai Super Kings","Chennai","India","Mumbai Indians","Chennai Super Kings"
"9",9,"Deccan Chargers","Rajasthan Royals","4/24/2008",2008,"Rajasthan Royals","Sunrisers Hyderabad","Hyderabad","India","Rajasthan Royals","Rajasthan Royals"
"10",10,"Kings XI Punjab","Mumbai Indians","4/25/2008",2008,"Rajasthan Royals","Kings XI Punjab","Chandigarh","India","Mumbai Indians","Kings XI Punjab"
"11",11,"Royal Challengers Bangalore","Rajasthan Royals","4/26/2008",2008,"Rajasthan Royals","Royal Challengers Bangalore","Bangalore","India","Rajasthan Royals","Rajasthan Royals"
"12",12,"Chennai Super Kings","Kolkata Knight Riders","4/26/2008",2008,"Rajasthan Royals","Chennai Super Kings","Chennai","India","Kolkata Knight Riders","Chennai Super Kings"
"13",13,"Mumbai Indians","Deccan Chargers","4/27/2008",2008,"Rajasthan Royals","Mumbai Indians","Mumbai","India","Deccan Chargers","Deccan Chargers"
"14",14,"Kings XI Punjab","Delhi Daredevils","4/27/2008",2008,"Rajasthan Royals","Kings XI Punjab","Chandigarh","India","Delhi Daredevils","Kings XI Punjab"
"15",15,"Royal Challengers Bangalore","Chennai Super Kings","4/28/2008",2008,"Rajasthan Royals","Royal Challengers Bangalore","Bangalore","India","Chennai Super Kings","Chennai Super Kings"
"16",16,"Kolkata Knight Riders","Mumbai Indians","4/29/2008",2008,"Rajasthan Royals","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Mumbai Indians"
"17",17,"Delhi Daredevils","Royal Challengers Bangalore","4/30/2008",2008,"Rajasthan Royals","Delhi Daredevils","Delhi","India","Royal Challengers Bangalore","Delhi Daredevils"
"18",18,"Deccan Chargers","Kings XI Punjab","5/1/2008",2008,"Rajasthan Royals","Sunrisers Hyderabad","Hyderabad","India","Kings XI Punjab","Kings XI Punjab"
"19",19,"Rajasthan Royals","Kolkata Knight Riders","5/1/2008",2008,"Rajasthan Royals","Rajasthan Royals","Jaipur","India","Rajasthan Royals","Rajasthan Royals"
"20",20,"Chennai Super Kings","Delhi Daredevils","5/2/2008",2008,"Rajasthan Royals","Chennai Super Kings","Chennai","India","Chennai Super Kings","Delhi Daredevils"
"21",21,"Deccan Chargers","Royal Challengers Bangalore","5/25/2008",2008,"Rajasthan Royals","Sunrisers Hyderabad","Hyderabad","India","Deccan Chargers","Royal Challengers Bangalore"
"22",22,"Kings XI Punjab","Kolkata Knight Riders","5/3/2008",2008,"Rajasthan Royals","Kings XI Punjab","Chandigarh","India","Kings XI Punjab","Kings XI Punjab"
"23",23,"Mumbai Indians","Delhi Daredevils","5/4/2008",2008,"Rajasthan Royals","Mumbai Indians","Mumbai","India","Delhi Daredevils","Mumbai Indians"
"24",24,"Rajasthan Royals","Chennai Super Kings","5/4/2008",2008,"Rajasthan Royals","Rajasthan Royals","Jaipur","India","Chennai Super Kings","Rajasthan Royals"
"25",25,"Royal Challengers Bangalore","Kings XI Punjab","5/5/2008",2008,"Rajasthan Royals","Royal Challengers Bangalore","Bangalore","India","Kings XI Punjab","Kings XI Punjab"
"26",26,"Chennai Super Kings","Deccan Chargers","5/6/2008",2008,"Rajasthan Royals","Chennai Super Kings","Chennai","India","Deccan Chargers","Deccan Chargers"
"27",27,"Mumbai Indians","Rajasthan Royals","5/7/2008",2008,"Rajasthan Royals","Mumbai Indians","Mumbai","India","Mumbai Indians","Mumbai Indians"
"28",28,"Delhi Daredevils","Chennai Super Kings","5/8/2008",2008,"Rajasthan Royals","Delhi Daredevils","Delhi","India","Chennai Super Kings","Chennai Super Kings"
"29",29,"Kolkata Knight Riders","Royal Challengers Bangalore","5/8/2008",2008,"Rajasthan Royals","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Kolkata Knight Riders"
"30",30,"Rajasthan Royals","Deccan Chargers","5/9/2008",2008,"Rajasthan Royals","Rajasthan Royals","Jaipur","India","Rajasthan Royals","Rajasthan Royals"
"31",31,"Royal Challengers Bangalore","Mumbai Indians","5/28/2008",2008,"Rajasthan Royals","Royal Challengers Bangalore","Bangalore","India","Mumbai Indians","Mumbai Indians"
"32",32,"Chennai Super Kings","Kings XI Punjab","5/10/2008",2008,"Rajasthan Royals","Chennai Super Kings","Chennai","India","Kings XI Punjab","Chennai Super Kings"
"33",33,"Deccan Chargers","Kolkata Knight Riders","5/11/2008",2008,"Rajasthan Royals","Sunrisers Hyderabad","Hyderabad","India","Kolkata Knight Riders","Kolkata Knight Riders"
"34",34,"Rajasthan Royals","Delhi Daredevils","5/11/2008",2008,"Rajasthan Royals","Rajasthan Royals","Jaipur","India","Rajasthan Royals","Rajasthan Royals"
"35",35,"Kings XI Punjab","Royal Challengers Bangalore","5/12/2008",2008,"Rajasthan Royals","Kings XI Punjab","Chandigarh","India","Royal Challengers Bangalore","Kings XI Punjab"
"36",36,"Kolkata Knight Riders","Delhi Daredevils","5/13/2008",2008,"Rajasthan Royals","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Kolkata Knight Riders"
"37",37,"Mumbai Indians","Chennai Super Kings","5/14/2008",2008,"Rajasthan Royals","Mumbai Indians","Mumbai","India","Mumbai Indians","Mumbai Indians"
"38",38,"Kings XI Punjab","Rajasthan Royals","5/28/2008",2008,"Rajasthan Royals","Kings XI Punjab","Chandigarh","India","Rajasthan Royals","Kings XI Punjab"
"39",39,"Delhi Daredevils","Deccan Chargers","5/15/2008",2008,"Rajasthan Royals","Delhi Daredevils","Delhi","India","Deccan Chargers","Delhi Daredevils"
"40",40,"Mumbai Indians","Kolkata Knight Riders","5/16/2008",2008,"Rajasthan Royals","Mumbai Indians","Mumbai","India","Mumbai Indians","Mumbai Indians"
"41",41,"Delhi Daredevils","Kings XI Punjab","5/17/2008",2008,"Rajasthan Royals","Delhi Daredevils","Delhi","India","Delhi Daredevils","Kings XI Punjab"
"42",42,"Rajasthan Royals","Royal Challengers Bangalore","5/17/2008",2008,"Rajasthan Royals","Rajasthan Royals","Jaipur","India","Royal Challengers Bangalore","Rajasthan Royals"
"43",43,"Deccan Chargers","Mumbai Indians","5/18/2008",2008,"Rajasthan Royals","Sunrisers Hyderabad","Hyderabad","India","Deccan Chargers","Mumbai Indians"
"44",44,"Kolkata Knight Riders","Chennai Super Kings","5/18/2008",2008,"Rajasthan Royals","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Chennai Super Kings"
"45",45,"Royal Challengers Bangalore","Delhi Daredevils","5/19/2008",2008,"Rajasthan Royals","Royal Challengers Bangalore","Bangalore","India","Delhi Daredevils","Delhi Daredevils"
"46",46,"Kolkata Knight Riders","Rajasthan Royals","5/20/2008",2008,"Rajasthan Royals","Kolkata Knight Riders","Kolkata","India","Rajasthan Royals","Rajasthan Royals"
"47",47,"Mumbai Indians","Kings XI Punjab","5/21/2008",2008,"Rajasthan Royals","Mumbai Indians","Mumbai","India","Mumbai Indians","Kings XI Punjab"
"48",48,"Chennai Super Kings","Royal Challengers Bangalore","5/21/2008",2008,"Rajasthan Royals","Chennai Super Kings","Chennai","India","Royal Challengers Bangalore","Royal Challengers Bangalore"
"49",49,"Kings XI Punjab","Deccan Chargers","5/23/2008",2008,"Rajasthan Royals","Kings XI Punjab","Chandigarh","India","Kings XI Punjab","Kings XI Punjab"
"50",50,"Delhi Daredevils","Mumbai Indians","5/24/2008",2008,"Rajasthan Royals","Delhi Daredevils","Delhi","India","Delhi Daredevils","Delhi Daredevils"
"51",51,"Chennai Super Kings","Rajasthan Royals","5/24/2008",2008,"Rajasthan Royals","Chennai Super Kings","Chennai","India","Rajasthan Royals","Rajasthan Royals"
"52",52,"Royal Challengers Bangalore","Deccan Chargers","5/3/2008",2008,"Rajasthan Royals","Royal Challengers Bangalore","Bangalore","India","Deccan Chargers","Royal Challengers Bangalore"
"53",53,"Kolkata Knight Riders","Kings XI Punjab","5/25/2008",2008,"Rajasthan Royals","Kolkata Knight Riders","Kolkata","India","Kings XI Punjab","Kolkata Knight Riders"
"54",54,"Rajasthan Royals","Mumbai Indians","5/26/2008",2008,"Rajasthan Royals","Rajasthan Royals","Jaipur","India","Rajasthan Royals","Rajasthan Royals"
"55",55,"Deccan Chargers","Chennai Super Kings","5/27/2008",2008,"Rajasthan Royals","Sunrisers Hyderabad","Hyderabad","India","Deccan Chargers","Chennai Super Kings"
"56",56,"Delhi Daredevils","Rajasthan Royals","5/30/2008",2008,"Rajasthan Royals","Mumbai Indians","Mumbai","India","Delhi Daredevils","Rajasthan Royals"
"57",57,"Chennai Super Kings","Kings XI Punjab","5/31/2008",2008,"Rajasthan Royals","Mumbai Indians","Mumbai","India","Kings XI Punjab","Chennai Super Kings"
"58",58,"Chennai Super Kings","Rajasthan Royals","6/1/2008",2008,"Rajasthan Royals","Mumbai Indians","Mumbai","India","Rajasthan Royals","Rajasthan Royals"
"59",59,"Chennai Super Kings","Mumbai Indians","4/18/2009",2009,"Deccan Chargers","Other","Cape Town","South Africa","Chennai Super Kings","Mumbai Indians"
"60",60,"Royal Challengers Bangalore","Rajasthan Royals","4/18/2009",2009,"Deccan Chargers","Other","Cape Town","South Africa","Royal Challengers Bangalore","Royal Challengers Bangalore"
"61",61,"Delhi Daredevils","Kings XI Punjab","4/19/2009",2009,"Deccan Chargers","Other","Cape Town","South Africa","Delhi Daredevils","Delhi Daredevils"
"62",62,"Deccan Chargers","Kolkata Knight Riders","4/19/2009",2009,"Deccan Chargers","Other","Cape Town","South Africa","Kolkata Knight Riders","Deccan Chargers"
"63",63,"Royal Challengers Bangalore","Chennai Super Kings","4/20/2009",2009,"Deccan Chargers","Other","Port Elizabeth","South Africa","Chennai Super Kings","Chennai Super Kings"
"64",64,"Kings XI Punjab","Kolkata Knight Riders","4/21/2009",2009,"Deccan Chargers","Other","Durban","South Africa","Kolkata Knight Riders","Kolkata Knight Riders"
"65",65,"Royal Challengers Bangalore","Deccan Chargers","4/22/2009",2009,"Deccan Chargers","Other","Cape Town","South Africa","Deccan Chargers","Deccan Chargers"
"66",66,"Chennai Super Kings","Delhi Daredevils","4/23/2009",2009,"Deccan Chargers","Other","Durban","South Africa","Delhi Daredevils","Delhi Daredevils"
"67",67,"Kolkata Knight Riders","Rajasthan Royals","4/23/2009",2009,"Deccan Chargers","Other","Cape Town","South Africa","Kolkata Knight Riders","Rajasthan Royals"
"68",68,"Royal Challengers Bangalore","Kings XI Punjab","4/24/2009",2009,"Deccan Chargers","Other","Durban","South Africa","Royal Challengers Bangalore","Kings XI Punjab"
"69",69,"Deccan Chargers","Mumbai Indians","4/25/2009",2009,"Deccan Chargers","Other","Durban","South Africa","Deccan Chargers","Deccan Chargers"
"70",70,"Royal Challengers Bangalore","Delhi Daredevils","4/26/2009",2009,"Deccan Chargers","Other","Port Elizabeth","South Africa","Royal Challengers Bangalore","Delhi Daredevils"
"71",71,"Kings XI Punjab","Rajasthan Royals","4/26/2009",2009,"Deccan Chargers","Other","Cape Town","South Africa","Kings XI Punjab","Kings XI Punjab"
"72",72,"Chennai Super Kings","Deccan Chargers","4/27/2009",2009,"Deccan Chargers","Other","Durban","South Africa","Deccan Chargers","Deccan Chargers"
"73",73,"Kolkata Knight Riders","Mumbai Indians","4/27/2009",2009,"Deccan Chargers","Other","Port Elizabeth","South Africa","Mumbai Indians","Mumbai Indians"
"74",74,"Delhi Daredevils","Rajasthan Royals","4/28/2009",2009,"Deccan Chargers","Other","Centurion","South Africa","Delhi Daredevils","Rajasthan Royals"
"75",75,"Royal Challengers Bangalore","Kolkata Knight Riders","4/29/2009",2009,"Deccan Chargers","Other","Durban","South Africa","Kolkata Knight Riders","Royal Challengers Bangalore"
"76",76,"Kings XI Punjab","Mumbai Indians","4/29/2009",2009,"Deccan Chargers","Other","Durban","South Africa","Kings XI Punjab","Kings XI Punjab"
"77",77,"Deccan Chargers","Delhi Daredevils","4/30/2009",2009,"Deccan Chargers","Other","Centurion","South Africa","Delhi Daredevils","Delhi Daredevils"
"78",78,"Chennai Super Kings","Rajasthan Royals","4/30/2009",2009,"Deccan Chargers","Other","Centurion","South Africa","Rajasthan Royals","Chennai Super Kings"
"79",79,"Kolkata Knight Riders","Mumbai Indians","5/1/2009",2009,"Deccan Chargers","Other","East London","South Africa","Mumbai Indians","Mumbai Indians"
"80",80,"Royal Challengers Bangalore","Kings XI Punjab","5/1/2009",2009,"Deccan Chargers","Other","Durban","South Africa","Royal Challengers Bangalore","Royal Challengers Bangalore"
"81",81,"Deccan Chargers","Rajasthan Royals","5/2/2009",2009,"Deccan Chargers","Other","Port Elizabeth","South Africa","Deccan Chargers","Rajasthan Royals"
"82",82,"Chennai Super Kings","Delhi Daredevils","5/2/2009",2009,"Deccan Chargers","Other","Johannesburg","South Africa","Delhi Daredevils","Chennai Super Kings"
"83",83,"Kings XI Punjab","Kolkata Knight Riders","5/3/2009",2009,"Deccan Chargers","Other","Port Elizabeth","South Africa","Kolkata Knight Riders","Kings XI Punjab"
"84",84,"Royal Challengers Bangalore","Mumbai Indians","5/3/2009",2009,"Deccan Chargers","Other","Johannesburg","South Africa","Mumbai Indians","Royal Challengers Bangalore"
"85",85,"Chennai Super Kings","Deccan Chargers","5/4/2009",2009,"Deccan Chargers","Other","East London","South Africa","Chennai Super Kings","Chennai Super Kings"
"86",86,"Kings XI Punjab","Rajasthan Royals","5/5/2009",2009,"Deccan Chargers","Other","Durban","South Africa","Kings XI Punjab","Rajasthan Royals"
"87",87,"Delhi Daredevils","Kolkata Knight Riders","5/5/2009",2009,"Deccan Chargers","Other","Durban","South Africa","Kolkata Knight Riders","Delhi Daredevils"
"88",88,"Deccan Chargers","Mumbai Indians","5/6/2009",2009,"Deccan Chargers","Other","Centurion","South Africa","Deccan Chargers","Deccan Chargers"
"89",89,"Royal Challengers Bangalore","Rajasthan Royals","5/7/2009",2009,"Deccan Chargers","Other","Centurion","South Africa","Rajasthan Royals","Rajasthan Royals"
"90",90,"Chennai Super Kings","Kings XI Punjab","5/7/2009",2009,"Deccan Chargers","Other","Centurion","South Africa","Chennai Super Kings","Chennai Super Kings"
"91",91,"Delhi Daredevils","Mumbai Indians","5/8/2009",2009,"Deccan Chargers","Other","East London","South Africa","Mumbai Indians","Delhi Daredevils"
"92",92,"Deccan Chargers","Kings XI Punjab","5/9/2009",2009,"Deccan Chargers","Other","Kimberley","South Africa","Kings XI Punjab","Kings XI Punjab"
"93",93,"Chennai Super Kings","Rajasthan Royals","5/9/2009",2009,"Deccan Chargers","Other","Kimberley","South Africa","Rajasthan Royals","Chennai Super Kings"
"94",94,"Royal Challengers Bangalore","Mumbai Indians","5/10/2009",2009,"Deccan Chargers","Other","Port Elizabeth","South Africa","Mumbai Indians","Mumbai Indians"
"95",95,"Delhi Daredevils","Kolkata Knight Riders","5/10/2009",2009,"Deccan Chargers","Other","Johannesburg","South Africa","Delhi Daredevils","Delhi Daredevils"
"96",96,"Deccan Chargers","Rajasthan Royals","5/11/2009",2009,"Deccan Chargers","Other","Kimberley","South Africa","Deccan Chargers","Deccan Chargers"
"97",97,"Royal Challengers Bangalore","Kolkata Knight Riders","5/12/2009",2009,"Deccan Chargers","Other","Centurion","South Africa","Royal Challengers Bangalore","Royal Challengers Bangalore"
"98",98,"Kings XI Punjab","Mumbai Indians","5/12/2009",2009,"Deccan Chargers","Other","Centurion","South Africa","Kings XI Punjab","Mumbai Indians"
"99",99,"Deccan Chargers","Delhi Daredevils","5/13/2009",2009,"Deccan Chargers","Other","Durban","South Africa","Deccan Chargers","Delhi Daredevils"
"100",100,"Royal Challengers Bangalore","Chennai Super Kings","5/14/2009",2009,"Deccan Chargers","Other","Durban","South Africa","Chennai Super Kings","Royal Challengers Bangalore"
"101",101,"Mumbai Indians","Rajasthan Royals","5/14/2009",2009,"Deccan Chargers","Other","Durban","South Africa","Rajasthan Royals","Rajasthan Royals"
"102",102,"Delhi Daredevils","Kings XI Punjab","5/15/2009",2009,"Deccan Chargers","Other","Bloemfontein","South Africa","Kings XI Punjab","Kings XI Punjab"
"103",103,"Chennai Super Kings","Mumbai Indians","5/16/2009",2009,"Deccan Chargers","Other","Port Elizabeth","South Africa","Mumbai Indians","Chennai Super Kings"
"104",104,"Deccan Chargers","Kolkata Knight Riders","5/16/2009",2009,"Deccan Chargers","Other","Johannesburg","South Africa","Deccan Chargers","Deccan Chargers"
"105",105,"Deccan Chargers","Kings XI Punjab","5/17/2009",2009,"Deccan Chargers","Other","Johannesburg","South Africa","Deccan Chargers","Kings XI Punjab"
"106",106,"Delhi Daredevils","Rajasthan Royals","5/17/2009",2009,"Deccan Chargers","Other","Bloemfontein","South Africa","Delhi Daredevils","Delhi Daredevils"
"107",107,"Chennai Super Kings","Kolkata Knight Riders","5/18/2009",2009,"Deccan Chargers","Other","Centurion","South Africa","Chennai Super Kings","Kolkata Knight Riders"
"108",108,"Royal Challengers Bangalore","Delhi Daredevils","5/19/2009",2009,"Deccan Chargers","Other","Johannesburg","South Africa","Delhi Daredevils","Royal Challengers Bangalore"
"109",109,"Kolkata Knight Riders","Rajasthan Royals","5/20/2009",2009,"Deccan Chargers","Other","Durban","South Africa","Kolkata Knight Riders","Kolkata Knight Riders"
"110",110,"Chennai Super Kings","Kings XI Punjab","5/20/2009",2009,"Deccan Chargers","Other","Durban","South Africa","Chennai Super Kings","Chennai Super Kings"
"111",111,"Delhi Daredevils","Mumbai Indians","5/21/2009",2009,"Deccan Chargers","Other","Centurion","South Africa","Delhi Daredevils","Delhi Daredevils"
"112",112,"Royal Challengers Bangalore","Deccan Chargers","5/21/2009",2009,"Deccan Chargers","Other","Centurion","South Africa","Royal Challengers Bangalore","Royal Challengers Bangalore"
"113",113,"Delhi Daredevils","Deccan Chargers","5/22/2009",2009,"Deccan Chargers","Other","Centurion","South Africa","Deccan Chargers","Deccan Chargers"
"114",114,"Royal Challengers Bangalore","Chennai Super Kings","5/23/2009",2009,"Deccan Chargers","Other","Johannesburg","South Africa","Royal Challengers Bangalore","Royal Challengers Bangalore"
"115",115,"Royal Challengers Bangalore","Deccan Chargers","5/24/2009",2009,"Deccan Chargers","Other","Johannesburg","South Africa","Royal Challengers Bangalore","Deccan Chargers"
"116",116,"Deccan Chargers","Kolkata Knight Riders","3/12/2010",2010,"Chennai Super Kings","Mumbai Indians","Mumbai","India","Deccan Chargers","Kolkata Knight Riders"
"117",117,"Mumbai Indians","Rajasthan Royals","3/13/2010",2010,"Chennai Super Kings","Mumbai Indians","Mumbai","India","Mumbai Indians","Mumbai Indians"
"118",118,"Kings XI Punjab","Delhi Daredevils","3/13/2010",2010,"Chennai Super Kings","Kings XI Punjab","Chandigarh","India","Delhi Daredevils","Delhi Daredevils"
"119",119,"Kolkata Knight Riders","Royal Challengers Bangalore","3/14/2010",2010,"Chennai Super Kings","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Kolkata Knight Riders"
"120",120,"Chennai Super Kings","Deccan Chargers","3/14/2010",2010,"Chennai Super Kings","Chennai Super Kings","Chennai","India","Deccan Chargers","Deccan Chargers"
"121",121,"Rajasthan Royals","Delhi Daredevils","3/15/2010",2010,"Chennai Super Kings","Rajasthan Royals","Ahmedabad","India","Delhi Daredevils","Delhi Daredevils"
"122",122,"Royal Challengers Bangalore","Kings XI Punjab","3/16/2010",2010,"Chennai Super Kings","Royal Challengers Bangalore","Bangalore","India","Kings XI Punjab","Royal Challengers Bangalore"
"123",123,"Kolkata Knight Riders","Chennai Super Kings","3/16/2010",2010,"Chennai Super Kings","Kolkata Knight Riders","Kolkata","India","Chennai Super Kings","Chennai Super Kings"
"124",124,"Delhi Daredevils","Mumbai Indians","3/17/2010",2010,"Chennai Super Kings","Delhi Daredevils","Delhi","India","Delhi Daredevils","Mumbai Indians"
"125",125,"Royal Challengers Bangalore","Rajasthan Royals","3/18/2010",2010,"Chennai Super Kings","Royal Challengers Bangalore","Bangalore","India","Royal Challengers Bangalore","Royal Challengers Bangalore"
"126",126,"Delhi Daredevils","Chennai Super Kings","3/19/2010",2010,"Chennai Super Kings","Delhi Daredevils","Delhi","India","Delhi Daredevils","Chennai Super Kings"
"127",127,"Deccan Chargers","Kings XI Punjab","3/19/2010",2010,"Chennai Super Kings","Kolkata Knight Riders","Cuttack","India","Kings XI Punjab","Deccan Chargers"
"128",128,"Rajasthan Royals","Kolkata Knight Riders","3/20/2010",2010,"Chennai Super Kings","Rajasthan Royals","Ahmedabad","India","Rajasthan Royals","Rajasthan Royals"
"129",129,"Mumbai Indians","Royal Challengers Bangalore","3/20/2010",2010,"Chennai Super Kings","Mumbai Indians","Mumbai","India","Mumbai Indians","Royal Challengers Bangalore"
"130",130,"Deccan Chargers","Delhi Daredevils","3/21/2010",2010,"Chennai Super Kings","Kolkata Knight Riders","Cuttack","India","Deccan Chargers","Deccan Chargers"
"131",131,"Chennai Super Kings","Kings XI Punjab","3/21/2010",2010,"Chennai Super Kings","Chennai Super Kings","Chennai","India","Chennai Super Kings","Kings XI Punjab"
"132",132,"Mumbai Indians","Kolkata Knight Riders","3/22/2010",2010,"Chennai Super Kings","Mumbai Indians","Mumbai","India","Kolkata Knight Riders","Mumbai Indians"
"133",133,"Royal Challengers Bangalore","Chennai Super Kings","3/23/2010",2010,"Chennai Super Kings","Royal Challengers Bangalore","Bangalore","India","Chennai Super Kings","Royal Challengers Bangalore"
"134",134,"Kings XI Punjab","Rajasthan Royals","3/24/2010",2010,"Chennai Super Kings","Kings XI Punjab","Chandigarh","India","Kings XI Punjab","Rajasthan Royals"
"135",135,"Mumbai Indians","Chennai Super Kings","3/25/2010",2010,"Chennai Super Kings","Mumbai Indians","Mumbai","India","Mumbai Indians","Mumbai Indians"
"136",136,"Rajasthan Royals","Deccan Chargers","3/26/2010",2010,"Chennai Super Kings","Rajasthan Royals","Ahmedabad","India","Deccan Chargers","Rajasthan Royals"
"137",137,"Kings XI Punjab","Kolkata Knight Riders","3/27/2010",2010,"Chennai Super Kings","Kings XI Punjab","Chandigarh","India","Kolkata Knight Riders","Kolkata Knight Riders"
"138",138,"Royal Challengers Bangalore","Delhi Daredevils","3/25/2010",2010,"Chennai Super Kings","Royal Challengers Bangalore","Bangalore","India","Royal Challengers Bangalore","Delhi Daredevils"
"139",139,"Rajasthan Royals","Chennai Super Kings","3/28/2010",2010,"Chennai Super Kings","Rajasthan Royals","Ahmedabad","India","Rajasthan Royals","Rajasthan Royals"
"140",140,"Deccan Chargers","Mumbai Indians","3/28/2010",2010,"Chennai Super Kings","Mumbai Indians","Mumbai","India","Deccan Chargers","Mumbai Indians"
"141",141,"Delhi Daredevils","Kolkata Knight Riders","3/29/2010",2010,"Chennai Super Kings","Delhi Daredevils","Delhi","India","Delhi Daredevils","Delhi Daredevils"
"142",142,"Mumbai Indians","Kings XI Punjab","3/30/2010",2010,"Chennai Super Kings","Mumbai Indians","Mumbai","India","Mumbai Indians","Mumbai Indians"
"143",143,"Chennai Super Kings","Royal Challengers Bangalore","3/31/2010",2010,"Chennai Super Kings","Chennai Super Kings","Chennai","India","Royal Challengers Bangalore","Chennai Super Kings"
"144",144,"Delhi Daredevils","Rajasthan Royals","3/31/2010",2010,"Chennai Super Kings","Delhi Daredevils","Delhi","India","Delhi Daredevils","Delhi Daredevils"
"145",145,"Kolkata Knight Riders","Deccan Chargers","4/1/2010",2010,"Chennai Super Kings","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Kolkata Knight Riders"
"146",146,"Kings XI Punjab","Royal Challengers Bangalore","4/2/2010",2010,"Chennai Super Kings","Kings XI Punjab","Chandigarh","India","Kings XI Punjab","Royal Challengers Bangalore"
"147",147,"Chennai Super Kings","Rajasthan Royals","4/3/2010",2010,"Chennai Super Kings","Chennai Super Kings","Chennai","India","Chennai Super Kings","Chennai Super Kings"
"148",148,"Mumbai Indians","Deccan Chargers","4/3/2010",2010,"Chennai Super Kings","Mumbai Indians","Mumbai","India","Mumbai Indians","Mumbai Indians"
"149",149,"Kolkata Knight Riders","Kings XI Punjab","4/4/2010",2010,"Chennai Super Kings","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Kings XI Punjab"
"150",150,"Delhi Daredevils","Royal Challengers Bangalore","4/4/2010",2010,"Chennai Super Kings","Delhi Daredevils","Delhi","India","Delhi Daredevils","Delhi Daredevils"
"151",151,"Deccan Chargers","Rajasthan Royals","4/5/2010",2010,"Chennai Super Kings","Deccan Chargers","Nagpur","India","Rajasthan Royals","Rajasthan Royals"
"152",152,"Chennai Super Kings","Mumbai Indians","4/6/2010",2010,"Chennai Super Kings","Chennai Super Kings","Chennai","India","Chennai Super Kings","Chennai Super Kings"
"153",153,"Rajasthan Royals","Kings XI Punjab","4/7/2010",2010,"Chennai Super Kings","Rajasthan Royals","Jaipur","India","Kings XI Punjab","Rajasthan Royals"
"154",154,"Kolkata Knight Riders","Delhi Daredevils","4/7/2010",2010,"Chennai Super Kings","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Kolkata Knight Riders"
"155",155,"Royal Challengers Bangalore","Deccan Chargers","4/8/2010",2010,"Chennai Super Kings","Royal Challengers Bangalore","Bangalore","India","Deccan Chargers","Deccan Chargers"
"156",156,"Kings XI Punjab","Mumbai Indians","4/9/2010",2010,"Chennai Super Kings","Kings XI Punjab","Chandigarh","India","Mumbai Indians","Kings XI Punjab"
"157",157,"Deccan Chargers","Chennai Super Kings","4/10/2010",2010,"Chennai Super Kings","Deccan Chargers","Nagpur","India","Chennai Super Kings","Deccan Chargers"
"158",158,"Royal Challengers Bangalore","Kolkata Knight Riders","4/10/2010",2010,"Chennai Super Kings","Royal Challengers Bangalore","Bangalore","India","Royal Challengers Bangalore","Royal Challengers Bangalore"
"159",159,"Delhi Daredevils","Kings XI Punjab","4/11/2010",2010,"Chennai Super Kings","Delhi Daredevils","Delhi","India","Delhi Daredevils","Kings XI Punjab"
"160",160,"Rajasthan Royals","Mumbai Indians","4/11/2010",2010,"Chennai Super Kings","Rajasthan Royals","Jaipur","India","Rajasthan Royals","Mumbai Indians"
"161",161,"Deccan Chargers","Royal Challengers Bangalore","4/12/2010",2010,"Chennai Super Kings","Deccan Chargers","Nagpur","India","Royal Challengers Bangalore","Deccan Chargers"
"162",162,"Mumbai Indians","Delhi Daredevils","4/13/2010",2010,"Chennai Super Kings","Mumbai Indians","Mumbai","India","Mumbai Indians","Mumbai Indians"
